H,rs,fold_id,fold_start,sharpe_oos,max_drawdown,ic,n_trades,gate_on,H_train,rs_train,pnl
0.5,0.25,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.5,0.3,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.5,0.35,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.5,0.4,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.5,0.45,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.5,0.5,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.5,0.55,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.5,0.6,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.55,0.1,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.55,0.15,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.55,0.2,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.55,0.25,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.55,0.3,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.55,0.35,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.55,0.4,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.55,0.45,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.55,0.5,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.55,0.55,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.55,0.6,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.6,0.1,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.6,0.15,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.6,0.2,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.6,0.25,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.6,0.3,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.6,0.35,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.6,0.4,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.6,0.45,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.6,0.5,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.6,0.55,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.6,0.6,20,2020-10-19,0.0,-0.0,0.0,0,False,0.5172458177173075,0.0,0.0
0.3,0.1,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.3,0.15,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.3,0.2,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.3,0.25,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.3,0.3,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.3,0.35,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.3,0.4,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.3,0.45,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.3,0.5,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.3,0.55,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.3,0.6,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.35,0.1,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.35,0.15,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.35,0.2,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.35,0.25,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.35,0.3,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.35,0.35,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.35,0.4,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.35,0.45,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.35,0.5,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.35,0.55,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.35,0.6,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.4,0.1,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.4,0.15,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.4,0.2,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.4,0.25,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.4,0.3,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.4,0.35,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.4,0.4,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.4,0.45,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.4,0.5,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.4,0.55,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.4,0.6,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.45,0.1,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.45,0.15,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.45,0.2,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.45,0.25,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.45,0.3,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.45,0.35,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.45,0.4,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.45,0.45,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.45,0.5,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.45,0.55,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.45,0.6,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.5,0.1,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.5,0.15,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.5,0.2,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.5,0.25,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.5,0.3,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.5,0.35,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.5,0.4,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.5,0.45,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.5,0.5,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.5,0.55,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.5,0.6,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.55,0.1,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.55,0.15,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.55,0.2,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.55,0.25,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.55,0.3,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.55,0.35,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.55,0.4,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.55,0.45,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.55,0.5,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.55,0.55,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.55,0.6,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.6,0.1,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.6,0.15,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.6,0.2,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.6,0.25,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.6,0.3,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.6,0.35,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.6,0.4,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.6,0.45,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.6,0.5,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.6,0.55,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.6,0.6,21,2020-11-17,0.0,-0.0,0.0,0,False,0.5601693458466221,0.0,0.0
0.3,0.1,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.3,0.15,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.3,0.2,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.3,0.25,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.3,0.3,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.3,0.35,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.3,0.4,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.3,0.45,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.3,0.5,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.3,0.55,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.3,0.6,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.35,0.1,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.35,0.15,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.35,0.2,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.35,0.25,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.35,0.3,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.35,0.35,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.35,0.4,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.35,0.45,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.35,0.5,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.35,0.55,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.35,0.6,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.4,0.1,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.4,0.15,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.4,0.2,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.4,0.25,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.4,0.3,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.4,0.35,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.4,0.4,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.4,0.45,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.4,0.5,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.4,0.55,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.4,0.6,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.45,0.1,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.45,0.15,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.45,0.2,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.45,0.25,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.45,0.3,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.45,0.35,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.45,0.4,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.45,0.45,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.45,0.5,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.45,0.55,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.45,0.6,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.5,0.1,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.5,0.15,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.5,0.2,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.5,0.25,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.5,0.3,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.5,0.35,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.5,0.4,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.5,0.45,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.5,0.5,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.5,0.55,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.5,0.6,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.55,0.1,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.55,0.15,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.55,0.2,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.55,0.25,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.55,0.3,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.55,0.35,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.55,0.4,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.55,0.45,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.55,0.5,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.55,0.55,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.55,0.6,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.6,0.1,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.6,0.15,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.6,0.2,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.6,0.25,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.6,0.3,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.6,0.35,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.6,0.4,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.6,0.45,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.6,0.5,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.6,0.55,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.6,0.6,22,2020-12-17,0.0,-0.0,0.0,0,False,0.5348159863453356,0.0,0.0
0.3,0.1,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.3,0.15,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.3,0.2,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.3,0.25,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.3,0.3,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.3,0.35,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.3,0.4,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.3,0.45,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.3,0.5,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.3,0.55,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.3,0.6,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.35,0.1,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.35,0.15,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.35,0.2,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.35,0.25,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.35,0.3,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.35,0.35,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.35,0.4,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.35,0.45,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.35,0.5,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.35,0.55,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.35,0.6,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.4,0.1,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.4,0.15,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.4,0.2,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.4,0.25,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.4,0.3,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.4,0.35,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.4,0.4,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.4,0.45,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.4,0.5,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.4,0.55,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.4,0.6,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.45,0.1,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.45,0.15,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.45,0.2,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.45,0.25,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.45,0.3,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.45,0.35,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.45,0.4,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.45,0.45,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.45,0.5,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.45,0.55,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.45,0.6,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.5,0.1,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.5,0.15,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.5,0.2,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.5,0.25,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.5,0.3,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.5,0.35,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.5,0.4,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.5,0.45,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.5,0.5,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.5,0.55,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.5,0.6,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.55,0.1,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.55,0.15,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.55,0.2,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.55,0.25,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.55,0.3,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.55,0.35,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.55,0.4,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.55,0.45,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.55,0.5,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.55,0.55,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.55,0.6,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.6,0.1,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.6,0.15,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.6,0.2,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.6,0.25,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.6,0.3,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.6,0.35,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.6,0.4,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.6,0.45,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.6,0.5,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.6,0.55,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.6,0.6,23,2021-01-20,0.0,-0.0,0.0,0,False,0.5209620949299627,0.0,0.0
0.3,0.1,24,2021-02-19,0.0,-0.0,0.0,0,False,0.6298522671676499,0.0,0.0
0.3,0.15,24,2021-02-19,0.0,-0.0,0.0,0,False,0.6298522671676499,0.0,0.0
0.3,0.2,24,2021-02-19,0.0,-0.0,0.0,0,False,0.6298522671676499,0.0,0.0
0.3,0.25,24,2021-02-19,0.0,-0.0,0.0,0,False,0.6298522671676499,0.0,0.0
0.3,0.3,24,2021-02-19,0.0,-0.0,0.0,0,False,0.6298522671676499,0.0,0.0
0.3,0.35,24,2021-02-19,0.0,-0.0,0.0,0,False,0.6298522671676499,0.0,0.0
0.3,0.4,24,2021-02-19,0.0,-0.0,0.0,0,False,0.6298522671676499,0.0,0.0
0.3,0.45,24,2021-02-19,0.0,-0.0,0.0,0,False,0.6298522671676499,0.0,0.0
0.3,0.5,24,2021-02-19,0.0,-0.0,0.0,0,False,0.6298522671676499,0.0,0.0
0.3,0.55,24,2021-02-19,0.0,-0.0,0.0,0,False,0.6298522671676499,0.0,0.0
0.3,0.6,24,2021-02-19,0.0,-0.0,0.0,0,False,0.6298522671676499,0.0,0.0
0.35,0.1,24,2021-02-19,0.0,-0.0,0.0,0,False,0.6298522671676499,0.0,0.0
